block trial startTime trialName trialType stopTime L_targetTime R_targetTime Choice L_press R_press L2_press R2_press L_RT R_RT L2_RT R2_RT
1 74 370.6 Go 1 0 800 800 2 0 0 1 1 nan nan 822.6 822.6
1 75 373.9 Stop-all 2 550 800 800 1 0 0 0 0 nan nan nan nan
1 76 377.0 Stop-left 3 620 800 800 1 1 1 0 0 835.7 820.0 nan nan
1 77 380.5 Go 1 0 800 800 2 0 0 1 1 nan nan 798.7 798.7
1 78 383.6 Go 1 0 800 800 1 1 1 0 0 807.8 807.8 nan nan
1 79 387.1 Stop-right 4 550 800 800 2 0 0 1 0 nan nan 890.6 nan
1 80 390.6 Go 1 0 800 800 2 0 0 1 1 nan nan 796.6 796.6
1 81 393.7 Stop-right 4 585 800 800 1 1 0 0 0 909.7 nan nan nan
1 82 396.9 Go 1 0 800 800 1 1 1 0 0 783.7 783.7 nan nan
1 83 400.3 Go 1 0 800 800 1 1 1 0 0 788.7 788.7 nan nan
1 84 403.4 Stop-right 4 620 800 800 2 0 0 1 1 nan nan 784.9 784.9
1 85 406.6 Go 1 0 800 800 2 0 0 1 1 nan nan 811.0 779.4
1 86 410.1 Go 1 0 800 800 1 1 1 0 0 787.2 787.2 nan nan
1 87 413.4 Go 1 0 800 800 1 1 1 0 0 790.0 790.0 nan nan
1 88 416.4 Go 1 0 800 800 2 0 0 1 1 nan nan 828.8 828.8
1 89 419.7 Go 1 0 800 800 2 0 0 1 1 nan nan 817.2 833.0
1 90 423.1 Stop-all 2 585 800 800 2 0 0 0 0 nan nan nan nan
1 91 426.5 Stop-right 4 585 800 800 2 0 0 1 0 nan nan 977.8 nan
1 92 429.9 Stop-all 2 620 800 800 2 0 0 1 1 nan nan 802.8 802.8
1 93 433.3 Go 1 0 800 800 1 1 1 0 0 879.3 879.3 nan nan
1 94 436.4 Go 1 0 800 800 1 1 1 0 0 790.6 790.6 nan nan
1 95 439.9 Go 1 0 800 800 1 1 1 0 0 798.5 798.5 nan nan
1 96 443.2 Stop-left 3 585 800 800 2 0 0 0 1 nan nan nan 917.3
1 97 446.6 Go 1 0 800 800 1 1 1 0 0 780.6 764.4 nan nan
1 98 449.9 Stop-left 3 620 800 800 2 0 0 0 1 nan nan nan 789.9
1 99 453.3 Go 1 0 800 800 1 1 1 0 0 803.9 803.9 nan nan
1 100 456.5 Go 1 0 800 800 1 1 1 0 0 794.7 794.7 nan nan
1 101 459.9 Go 1 0 800 800 2 0 0 1 1 nan nan 793.5 793.5
1 102 463.2 Go 1 0 800 800 1 1 1 0 0 768.6 768.6 nan nan
1 103 466.7 Stop-left 3 655 800 800 1 1 1 0 0 808.5 808.5 nan nan
1 104 469.8 Go 1 0 800 800 1 1 1 0 0 797.7 797.7 nan nan
1 105 472.8 Go 1 0 800 800 2 0 0 1 1 nan nan 811.8 811.8
1 106 476.3 Stop-all 2 585 800 800 2 0 0 0 0 nan nan nan nan
1 107 479.4 Go 1 0 800 800 2 0 0 1 1 nan nan 830.9 830.9
1 108 482.5 Go 1 0 800 800 2 0 0 1 1 nan nan 780.0 780.0
2 109 487.5 Go 1 0 800 800 2 0 0 1 1 nan nan 799.0 799.0
2 110 490.7 Stop-right 4 620 800 800 1 1 1 0 0 782.7 798.8 nan nan
2 111 493.9 Go 1 0 800 800 2 0 0 0 1 nan nan nan 803.7
2 112 497.0 Stop-left 3 620 800 800 1 1 1 0 0 784.3 784.3 nan nan
2 113 500.1 Go 1 0 800 800 1 1 1 0 0 787.6 787.6 nan nan
2 114 503.4 Stop-right 4 585 800 800 2 0 0 1 1 nan nan 775.3 791.3
2 115 506.6 Stop-left 3 585 800 800 2 0 0 0 1 nan nan nan 872.3
2 116 509.8 Go 1 0 800 800 1 1 1 0 0 765.7 781.6 nan nan
2 117 513.2 Go 1 0 800 800 2 0 0 1 1 nan nan 795.6 811.4
2 118 516.3 Go 1 0 800 800 1 1 1 0 0 780.6 780.6 nan nan
2 119 519.6 Stop-left 3 620 800 800 2 0 0 1 1 nan nan 817.2 849.2
2 120 522.8 Go 1 0 800 800 1 1 1 0 0 804.7 804.7 nan nan
2 121 526.2 Go 1 0 800 800 1 1 1 0 0 758.7 774.8 nan nan
2 122 529.7 Go 1 0 800 800 2 0 0 1 1 nan nan 795.6 795.6
2 123 533.1 Stop-right 4 550 800 800 2 0 0 1 0 nan nan 853.4 nan
2 124 536.3 Stop-right 4 585 800 800 2 0 0 1 1 nan nan 810.4 810.4
2 125 539.4 Go 1 0 800 800 1 1 1 0 0 809.3 809.3 nan nan
2 126 542.8 Go 1 0 800 800 2 0 0 1 1 nan nan 806.3 790.4
2 127 546.2 Go 1 0 800 800 2 0 0 1 1 nan nan 770.7 786.7
2 128 549.3 Go 1 0 800 800 2 0 0 1 0 nan nan 834.1 nan
2 129 552.3 Go 1 0 800 800 1 1 1 0 0 804.1 804.1 nan nan
2 130 555.5 Go 1 0 800 800 2 0 0 1 1 nan nan 827.5 827.5
2 131 558.8 Go 1 0 800 800 2 0 0 1 1 nan nan 784.6 784.6
2 132 562.1 Go 1 0 800 800 1 1 1 0 0 767.7 767.7 nan nan
2 133 565.2 Stop-all 2 620 800 800 1 0 0 0 0 nan nan nan nan
2 134 568.3 Go 1 0 800 800 2 0 0 1 1 nan nan 830.7 830.7
2 135 571.6 Go 1 0 800 800 1 1 1 0 0 785.3 785.3 nan nan
2 136 575.1 Go 1 0 800 800 1 1 1 0 0 805.3 805.3 nan nan
2 137 578.5 Go 1 0 800 800 2 0 0 1 1 nan nan 794.9 794.9
2 138 581.8 Stop-all 2 655 800 800 1 1 1 0 0 881.8 865.7 nan nan
2 139 585.1 Go 1 0 800 800 1 1 1 0 0 797.3 797.3 nan nan
2 140 588.6 Stop-all 2 620 800 800 1 0 1 0 0 nan 840.6 nan nan
2 141 592.1 Go 1 0 800 800 1 1 1 0 0 785.0 785.0 nan nan
2 142 595.4 Go 1 0 800 800 1 1 1 0 0 836.8 836.8 nan nan
2 143 598.5 Stop-all 2 585 800 800 2 0 0 1 0 nan nan 750.7 nan
2 144 601.9 Stop-left 3 585 800 800 2 0 0 0 1 nan nan nan 917.5
3 145 607.2 Go 1 0 800 800 1 1 1 0 0 785.6 769.6 nan nan
3 146 610.6 Stop-left 3 620 800 800 2 0 0 1 1 nan nan 804.7 804.7
3 147 613.9 Go 1 0 800 800 2 0 0 1 1 nan nan 834.9 834.9
